pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_mass,st_masserr1,st_masserr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2
PSR B1257+12,b,PSR B1257+12 b,Pulsar Timing,0.19,0,0,0,0,,,0,1.4,0,0,0.00006,0.00001,-0.00001,0,0.02,0.002,-0.002
TRAPPIST-1,d,TRAPPIST-1 d,Transit,0.02144,0.00066,-0.00063,0,0.07,,,1,0.08,0.01,-0.01,0.00129,0.00085,-0.00085,0,0.41,0.27,-0.27
KOI-55,b,KOI-55 b,Orbital Brightness Modulation,0.006,0,0,0,,,,,0.5,0,0,0.0014,0,0,0,0.44,0,0
TRAPPIST-1,e,TRAPPIST-1 e,Transit,0.02817,0.00083,-0.00087,0,0.085,,,1,0.08,0.01,-0.01,0.00195,0.00182,-0.00182,0,0.62,0.58,-0.58
KOI-55,c,KOI-55 c,Orbital Brightness Modulation,0.0076,0,0,0,,,,,0.5,0,0,0.0021,0,0,0,0.655,0,0
TRAPPIST-1,f,TRAPPIST-1 f,Transit,0.0371,0.0011,-0.0011,0,0.063,,,1,0.08,0.01,-0.01,0.00214,0.00057,-0.00057,0,0.68,0.18,-0.18
GJ 9827,c,GJ 9827 c,Transit,0.03925,0.00042,-0.00029,0,0,,,0,0.61,0.02,-0.01,0.00264,0,0,0,0.84,0,0
TRAPPIST-1,b,TRAPPIST-1 b,Transit,0.01111,0.00034,-0.00034,0,0.081,,,1,0.08,0.01,-0.01,0.00267,0.00227,-0.00227,0,0.85,0.72,-0.72
TRAPPIST-1,g,TRAPPIST-1 g,Transit,0.0451,0.0014,-0.0014,0,0.061,,,1,0.08,0.01,-0.01,0.00422,0.00277,-0.00277,0,1.34,0.88,-0.88
TRAPPIST-1,c,TRAPPIST-1 c,Transit,0.01521,0.00047,-0.00047,0,0.083,,,1,0.08,0.01,-0.01,0.00434,0.00192,-0.00192,0,1.38,0.61,-0.61
OGLE-2016-BLG-1195L,b,OGLE-2016-BLG-1195L b,Microlensing,1.16,0.16,-0.13,0,,,,,0.08,0.02,-0.01,0.0045,0.00142,-0.00101,0,1.43,0.45,-0.32
GJ 1132,b,GJ 1132 b,Transit,0.0153,0.0005,-0.0005,0,0.22,,,1,0.18,0.02,-0.02,0.00522,0.00072,-0.00072,0,1.66,0.23,-0.23
LHS 1140,c,LHS 1140 c,Transit,0.02675,0.0007,-0.0007,0,0.31,,,1,0.18,0.01,-0.01,0.00569,0.00123,-0.00123,0,1.81,0.39,-0.39
GJ 357,b,GJ 357 b,Transit,0.035,0.002,-0.002,0,,,,0,0.34,0.01,-0.01,0.00579,0.00098,-0.00098,0,1.84,0.31,-0.31
Kepler-11,b,Kepler-11 b,Transit,0.091,0.001,-0.001,0,0.045,0.068,-0.042,0,0.96,0.03,-0.03,0.006,0.004,-0.003,0,1.9,1.4,-1
Kepler-11,f,Kepler-11 f,Transit,0.25,0.002,-0.002,0,0.013,0.011,-0.009,0,0.96,0.03,-0.03,0.006,0.003,-0.003,0,2,0.8,-0.9
Kepler-47,b,Kepler-47 b,Transit,0.2877,0.0014,-0.0011,0,0.021,0.0025,-0.0022,0,0.96,0.01,-0.01,0.00651,0.07457,-0.00651,0,2.07,23.7,-2.07
Kepler-51,b,Kepler-51 b,Transit,0.2514,0.0097,-0.0097,0,0.04,0.01,-0.01,0,1.04,0.12,-0.12,0.007,0.005,-0.003,0,2.1,1.5,-0.8
LTT 1445 A,b,LTT 1445 A b,Transit,0.03807,0.00068,-0.00071,0,0.19,0.35,-0.14,0,0.26,0.01,-0.01,0.00692,0.00535,-0.00661,0,2.2,1.7,-2.1
OGLE-2013-BLG-0341L B,b,OGLE-2013-BLG-0341L B b,Microlensing,0.883,0.043,-0.043,0,,,,,0.15,0.01,-0.01,0.0073,0.0008,-0.0008,0,2.32,0.27,-0.27
Kepler-11,c,Kepler-11 c,Transit,0.107,0.001,-0.001,0,0.026,0.063,-0.013,0,0.96,0.03,-0.03,0.009,0.009,-0.005,0,2.9,2.9,-1.6
Kepler-47,c,Kepler-47 c,Transit,0.9638,0.0041,-0.0044,0,0.044,0.029,-0.019,0,0.96,0.01,-0.01,0.00997,0.00686,-0.00393,0,3.17,2.18,-1.25
